,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
198,Samoa,True,True,monday,Independent State of Samoa,Samoa,+6,['85'],['Apia'],Oceania,Polynesia,"English, Samoan",2842.0,198410,['Oceania'],"Samoan tālā, T"
199,Jersey,False,False,monday,Bailiwick of Jersey,Jersey,+4,['4'],['Saint Helier'],Europe,Northern Europe,"English, French, Jèrriais",116.0,100800,['Europe'],"British pound, £, Jersey pound, £"
200,Japan,True,True,monday,Japan,,+8,['1'],['Tokyo'],Asia,Eastern Asia,Japanese,377930.0,125836021,['Asia'],"Japanese yen, ¥"
201,Bolivia,True,True,monday,Plurinational State of Bolivia,,+5,['91'],['Sucre'],Americas,South America,"Spanish, Aymara, Quechua, Guaraní",1098581.0,11673029,['South America'],"Bolivian boliviano, Bs."
202,Chile,True,True,monday,Republic of Chile,,+5,['6'],['Santiago'],Americas,South America,Spanish,756102.0,19116209,['South America'],"Chilean peso, $"
203,United States,True,True,sunday,United States of America,United States,+1,"['201', '202', '203', '205', '206', '207', '208', '209', '210', '212', '213', '214', '215', '216', '217', '218', '219', '220', '224', '225', '227', '228', '229', '231', '234', '239', '240', '248', '251', '252', '253', '254', '256', '260', '262', '267', '269', '270', '272', '274', '276', '281', '283', '301', '302', '303', '304', '305', '307', '308', '309', '310', '312', '313', '314', '315', '316', '317', '318', '319', '320', '321', '323', '325', '327', '330', '331', '334', '336', '337', '339', '346', '347', '351', '352', '360', '361', '364', '380', '385', '386', '401', '402', '404', '405', '406', '407', '408', '409', '410', '412', '413', '414', '415', '417', '419', '423', '424', '425', '430', '432', '434', '435', '440', '442', '443', '447', '458', '463', '464', '469', '470', '475', '478', '479', '480', '484', '501', '502', '503', '504', '505', '507', '508', '509', '510', '512', '513', '515', '516', '517', '518', '520', '530', '531', '534', '539', '540', '541', '551', '559', '561', '562', '563', '564', '567', '570', '571', '573', '574', '575', '580', '585', '586', '601', '602', '603', '605', '606', '607', '608', '609', '610', '612', '614', '615', '616', '617', '618', '619', '620', '623', '626', '628', '629', '630', '631', '636', '641', '646', '650', '651', '657', '660', '661', '662', '667', '669', '678', '681', '682', '701', '702', '703', '704', '706', '707', '708', '712', '713', '714', '715', '716', '717', '718', '719', '720', '724', '725', '727', '730', '731', '732', '734', '737', '740', '743', '747', '754', '757', '760', '762', '763', '765', '769', '770', '772', '773', '774', '775', '779', '781', '785', '786', '801', '802', '803', '804', '805', '806', '808', '810', '812', '813', '814', '815', '816', '817', '818', '828', '830', '831', '832', '843', '845', '847', '848', '850', '854', '856', '857', '858', '859', '860', '862', '863', '864', '865', '870', '872', '878', '901', '903', '904', '906', '907', '908', '909', '910', '912', '913', '914', '915', '916', '917', '918', '919', '920', '925', '928', '929', '930', '931', '934', '936', '937', '938', '940', '941', '947', '949', '951', '952', '954', '956', '959', '970', '971', '972', '973', '975', '978', '979', '980', '984', '985', '989']","['Washington, D.C.']",Americas,North America,English,9372610.0,329484123,['North America'],"United States dollar, $"
204,Saint Vincent and the Grenadines,True,True,monday,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,+1,['784'],['Kingstown'],Americas,Caribbean,English,389.0,110947,['North America'],"Eastern Caribbean dollar, $"
205,Bermuda,False,False,monday,Bermuda,Bermuda,+1,['441'],['Hamilton'],Americas,North America,English,54.0,63903,['North America'],"Bermudian dollar, $"
206,Seychelles,True,True,monday,Republic of Seychelles,Seychelles,+2,['48'],['Victoria'],Africa,Eastern Africa,"English, French, Seychellois Creole",452.0,98462,['Africa'],"Seychellois rupee, ₨"
207,British Indian Ocean Territory,False,False,monday,British Indian Ocean Territory,British Indian Ocean Territory,+2,['46'],['Diego Garcia'],Africa,Eastern Africa,English,60.0,3000,['Asia'],"United States dollar, $"
